iter	Logloss
0	0.6866888621
1	0.679053652	02	0.6717539591
3	0.6655604045
4	0.6588596162
5	0.6527141389
6	0.646205236
7	0.639369056388	0.6322214036
9	0.6268479483
10	0.6207259647
11	0.6128047761
12	0.6046111697
13	0.5979451982
14	0.5912703862
15	0.5847065032
16	0.5790055896
17	0.57389928418	0.570843919	019	0.566549120	020	0.56030721	0.21	0.5546680632
22	0.5491880387
23	0.5424174354
24	0.5370618427
25	0.5318311661
26	0.5268227	0.527	0.5214928	0.28	0.51636229	029	0.5112634689
330	0.5000261579
31	0.4946989332
32	0.490147848
33	0.4843576825
34	0.47950081635	0.4841627091
36	0.4792299737	0.4840749105
38	0.4800045074
39	0.4767302861
40	0.473198815
41	0.4697417002
42	0.4662601531
43	0.4618206932
44	0.458006662
45	0.45	0.43223246	0.46	0.4292100573
47	0.42689387
48	0.4233671521
49	0.4208380684
50	0.4173502241
51	0.4141555665
52	0.4106883094
53	0.4069884154	0.4257756793
55	0.422694948
556	0.4123911176
57	0.409417591458	0.4144991012
59	0.4118773142660	060	0.3870634654
61	0.3853496067
62	0.3823982723
63	0.3798368545
64	0.3768949357
65	0.3747409033
66	0.3721994673
67	0.3694765606
68	0.3678799584
69	0.3651054625
70	0.3630150084
71	0.3601109338
72	0.3582745507
73	0.3562526097
74	0.35408568
75	0.352072519
76	0.3499886649
77	0.3477280632
78	0.3461752998
79	0.3443294404
80	0.3422152504
81	0.3405073862
82	0.3388681563
83	0.3370588091
84	0.3356595721
85	0.33400911
86	0.3320155674
87	0.3304913233
88	0.3289730738
89	0.3273642404
90	0.3255070278
91	0.323476095
92	0.3216179136
93	0.3199705094
94	0.3188750555
95	0.3171104552
96	0.3157773699
97	0.3147642045
98	0.3138254256
99	0.3117899819
100	0.3109356411
101	0.3090961396
102	0.3074241517
103	0.3058166807
104	0.3042847467
105	0.3026186625
106	0.3010345943
107	0.3000920916
108	0.2987014528
109	0.2974694873
110	0.2967845675
111	0.2951864212
112	0.2939101325
113	0.2928092593
114	0.2917286101
115	0.2909606449
116	0.2900376093
117	0.2887989831
118	0.2877303532
119	0.2865811908
120	0.2853326646
121	0.2843719664
122	0.2831994617
123	0.2819529942
124	0.2813273233
125	0.2801560296
126	0.2788802556
127	0.277531972
128	0.2764796908
129	0.2753707341
130	0.2743708898
131	0.2730781313
132	0.2720687503
133	0.2711226448
134	0.2705558898
135	0.2697044251
136	0.2690192329
137	0.2679967123
138	0.2674836053
139	0.2668018038
140	0.2657943604
141	0.2649139525
142	0.2641614884
143	0.2633419642
144	0.2625471145
145	0.2614051577
146	0.2604887523
147	0.2596242995
148	0.2586174617
149	0.2573808943
150	0.2564967927
151	0.2556785705
152	0.2548298306
153	0.2541301061
154	0.2534748259
155	0.2524560747
156	0.2517778457
157	0.2510550363
158	0.2503425507
159	0.249352879
160	0.2485679899
161	0.2478053532
162	0.2469956383
163	0.2462408883
164	0.2454320665
165	0.2445466632
166	0.2441778637
167	0.2437116532
168	0.2433532533
169	0.2428148815
170	0.2421596012
171	0.2415949958
172	0.2409683409
173	0.240191172
174	0.2393342275
175	0.2388044085
176	0.2384704257
177	0.2378047307
178	0.2370431991
179	0.2364569921
180	0.2356964747
181	0.2349664597
182	0.2341752734
183	0.2335005563
184	0.2329879942
185	0.2323393746
186	0.2318890284
187	0.2312405299
188	0.2306442866
189	0.2301111373
190	0.2295631833
191	0.2289117329
192	0.2285375444
193	0.2281250272
194	0.2277488557
195	0.2275033073
196	0.2267876428
197	0.2262611692
198	0.2258410681
199	0.2252211344
200	0.2245497174
201	0.2241107396
202	0.2238085459
203	0.2231721727
204	0.2227226742
205	0.2222867693
206	0.2216786884
207	0.2210851245
208	0.220417053
209	0.2200451654
210	0.2195793182
211	0.2190799259
212	0.2186996823
213	0.2183240255
214	0.2178029257
215	0.2173954494
216	0.2170708823
217	0.2163900648
